corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-steerable-v1,blocks,znorm,1,,80,2,24,1,8640,8,0.29612454270952987,0.3943564703482309,0.003512488623407882,0.36093737619447674,0.0686422751275143,0.00214714600000001,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,znorm,2,,80,2,24,1,8640,8,0.2961338130025883,0.3947004211492455,0.0035679928426768435,0.36063314676823116,0.06823699480404888,0.0020928160000000286,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,znorm,5,,80,2,24,1,8640,8,0.23722602892269556,0.2698258716130769,0.30337171800507773,0.20180102892866653,0.3763123126770819,0.0020243750000000617,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,znorm,10,,80,2,24,1,8640,8,0.23602261690628487,0.2673687533128082,0.305414370529284,0.20014446520284743,0.3785770204748157,0.0020494280000000623,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,znorm,25,,80,2,24,1,8640,8,0.23653017870759951,0.2670184560802851,0.30576441578516095,0.19973555988617558,0.37908859395007816,0.0020568840000000552,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,blocks,znorm,50,,80,2,24,1,8640,8,0.2421010162198692,0.27085715772177626,0.3060504938609535,0.20044357050269354,0.37918838592209914,0.0020295000000000677,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,P,,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0012009499999999004,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,F,,,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,0.00010333599999999564,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,F_legacy,,,80,2,24,1,8640,4,0.25103502900451635,0.270636373592629,0.30596791374232196,0.20688581544154344,0.3675093373731966,0.00010588599999999537,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,T,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.002533906999999713,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,T,1,,80,2,24,1,8640,4,0.2420359153561591,0.25210712746490854,0.30570237282183305,0.20190820910540672,0.3796778263400619,0.0021120890000000114,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,T,2,,80,2,24,1,8640,4,0.24519654783991757,0.2570280445563118,0.3062376656871092,0.20232754332070288,0.38350970748490076,0.0020611530000000295,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,T,5,,80,2,24,1,8640,4,0.2467012461579444,0.2592810654601356,0.30636030504595846,0.20185656401425597,0.38531326898418594,0.002056799000000013,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,T,10,,80,2,24,1,8640,4,0.2470845424608391,0.25989169004262935,0.30647851141230825,0.20166551234644764,0.38574840242482994,0.0020244730000000344,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,T,25,,80,2,24,1,8640,4,0.24744369873410016,0.2602823880453883,0.30650613451410075,0.2016399790423552,0.3860977337518756,0.002107259000000018,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,T,50,,80,2,24,1,8640,4,0.2475721612120708,0.2604750744656417,0.30653870674266476,0.20163609044425354,0.3862170553742413,0.002101181000000019,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,lex,,2,80,2,24,1,8640,4,0.23687433591498455,0.24574690840287391,0.30453585593647076,0.2031613954435322,0.36261638106795113,0.002579194999999691,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,lex,,3,80,2,24,1,8640,4,0.24737736607251304,0.260510559745397,0.30654419847557346,0.20174333628500077,0.3860277325560513,0.0020828530000000347,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,lex,,4,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,0.0021967559999999655,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,lex,,6,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,0.0021601459999999895,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,znorm,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0019511630000000205,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,znorm,1,,80,2,24,1,8640,4,0.24262356730848492,0.24867933261470418,0.3035133438112784,0.182193802149065,0.3756826382517956,0.0018492109999999951,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
