corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA
nasa-structure-v1,diamond,T,5,,80,2,24,1,8640,4,0.269242014529293,0.30056391080804357,0.039061331930810815,0.24143023363469995,0.12621775496079735,0.0019260650000000456,a07f806
nasa-structure-v1,diamond,T,10,,80,2,24,1,8640,4,0.27003809848700244,0.3019312942337189,0.03902265857366774,0.24269989238803485,0.12639649014153653,0.0019932770000000454,a07f806
nasa-structure-v1,diamond,T,25,,80,2,24,1,8640,4,0.2704426556010733,0.3026121080280747,0.03903163386783535,0.2432178938884066,0.1265174927722244,0.001910000000000038,a07f806
nasa-structure-v1,diamond,T,50,,80,2,24,1,8640,4,0.27053042771167646,0.3027603780809357,0.0390194440726704,0.2434389420565476,0.12649128466454232,0.0019766330000000588,a07f806
nasa-structure-v1,diamond,lex,,2,80,2,24,1,8640,4,0.2563491862430907,0.2787545173573635,0.03973106396091326,0.21676029906167585,0.11614431980372455,0.0024281609999998906,a07f806
nasa-structure-v1,diamond,lex,,3,80,2,24,1,8640,4,0.2563491862430907,0.2787545173573635,0.03973106396091326,0.21676029906167585,0.11614431980372455,0.0018445370000000298,a07f806
nasa-structure-v1,diamond,lex,,4,80,2,24,1,8640,4,0.2706218218487783,0.3029137582446613,0.03904954735421255,0.24356283668899115,0.12653878758424422,0.0019092400000000486,a07f806
nasa-structure-v1,diamond,lex,,6,80,2,24,1,8640,4,0.2706218218487783,0.3029137582446613,0.03904954735421255,0.24356283668899115,0.12653878758424422,0.0018830470000000558,a07f806
nasa-structure-v1,diamond,znorm,0,,80,2,24,1,8640,4,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.0017783049999999891,a07f806
nasa-structure-v1,diamond,znorm,1,,80,2,24,1,8640,4,0.2549163375579831,0.27651087151258147,0.037550851467040465,0.20205392512524237,0.1114945191466449,0.0015729489999999346,a07f806
nasa-structure-v1,diamond,znorm,2,,80,2,24,1,8640,4,0.25351439253693486,0.275566743330094,0.038721810693644866,0.213645280665508,0.11428769630871624,0.001569670999999922,a07f806
nasa-structure-v1,diamond,znorm,5,,80,2,24,1,8640,4,0.2600855074944896,0.285860947004082,0.039550029558115006,0.23045966645006197,0.1205900446420375,0.0015977009999999432,a07f806
nasa-structure-v1,diamond,znorm,10,,80,2,24,1,8640,4,0.2649882814960095,0.2936443394590089,0.03945238227006526,0.23717360492607026,0.12352474969790571,0.0015180619999999186,a07f806
nasa-structure-v1,diamond,znorm,25,,80,2,24,1,8640,4,0.268423182780086,0.29921134172178965,0.03914326581828947,0.24071322398456044,0.12570536336436597,0.0015489939999999236,a07f806
nasa-structure-v1,diamond,znorm,50,,80,2,24,1,8640,4,0.2693994969678861,0.30082270156482793,0.03904954715914536,0.24157341399514068,0.1263509293398155,0.001523143999999911,a07f806
nasa-structure-v1,cross,P,,,80,2,24,1,8640,5,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.0012306469999999565,a07f806
nasa-structure-v1,cross,F,,,80,2,24,1,8640,5,0.2683418156867293,0.2995784234933238,0.03933502345095221,0.23704527441673587,0.12671733745045327,9.075099999999681e-05,a07f806
nasa-structure-v1,cross,F_legacy,,,80,2,24,1,8640,5,0.2883215152037759,0.33884473042911345,0.038548711770493405,0.2737003190278518,0.11911817151812105,0.00011580899999999464,a07f806
nasa-structure-v1,cross,T,0,,80,2,24,1,8640,5,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.002529434999999812,a07f806
nasa-structure-v1,cross,T,1,,80,2,24,1,8640,5,0.2664336874167595,0.2935687143498691,0.03905129734297456,0.23235514188731451,0.12249153814049166,0.0021067050000000225,a07f806
nasa-structure-v1,cross,T,2,,80,2,24,1,8640,5,0.26714675817843664,0.29537873010740934,0.0390023915304233,0.23349549568323638,0.1244738558841509,0.0019864760000000868,a07f806
nasa-structure-v1,cross,T,5,,80,2,24,1,8640,5,0.26767311448696723,0.2975229683291604,0.03925921058030505,0.23477546304211147,0.12602987725465334,0.0019242570000000917,a07f806
nasa-structure-v1,cross,T,10,,80,2,24,1,8640,5,0.26791942310182737,0.2983421168675384,0.03922143124277192,0.23560669221406252,0.1264950306069138,0.001954846000000089,a07f806
nasa-structure-v1,cross,T,25,,80,2,24,1,8640,5,0.26820724209852403,0.2991107163939145,0.039230497669372255,0.23662700563997105,0.12658266921363373,0.001894153000000066,a07f806
nasa-structure-v1,cross,T,50,,80,2,24,1,8640,5,0.2682870075866376,0.2993483715497513,0.03922119060190673,0.2367654599150979,0.12666151975154102,0.0019909280000000792,a07f806
